[   0.00 -    9.80] telling stories. That's three claims. Two of them have no evidence, not thin evidence,
[   9.80 -   16.34] not contested evidence, none. And the one that's left standing is so much stranger than the
[  16.34 -   22.92] story that I genuinely don't understand why anyone bothered making the story up.
[  22.92 -   30.16] Part one, the animals that weren't there. Start with the predators because this one's
[  30.16 -   38.36] almost funny. The idea is everywhere. Night was lethal. Big cats hunted in the dark. So
[  38.36 -   44.88] we built fires to hold them off. And the fire made us human. You'll find it in the textbooks.
[  44.88 -   55.04] You'll find it in a nature paper from this year. All right. I'm starting from the beginning.
[  55.04 -   68.72] I was in the middle of reading. What did humans do at night? The sun goes down and for the
[  68.72 -   78.28] next 12 hours, you can't work. You can't forage. You can't hunt. You can't dig. You can't walk
[  78.28 -   88.36] anywhere that isn't memorized. You can barely see your own hands for 200,000 years. That
[  88.36 -   98.56] was half of your life. Half. So what did you do? You already know the answer because you've
[  98.56 -  105.58] seen it in every documentary ever made. You huddled around a fire because the fire kept
[ 105.58 -  116.08] the animals away. And that's where we started telling stories. That's three claims. Two
[ 116.08 -  122.92] of them have no evidence, not thin evidence, not contested evidence, none. And the one
[ 122.92 -  128.84] that's left standing is so much stranger than the story that I genuinely don't understand
[ 128.84 -  137.16] why anyone bothered making the story up. Start with the predators because this one's almost
[ 137.16 -  147.28] funny. The idea is everywhere. Night was lethal. Big cats hunted in the dark. So we built fires
[ 147.28 -  154.64] to hold them off and the fire made us human. You'll find it in the textbooks. You'll find
[ 154.64 -  160.76] it in a nature paper from this year. So I went looking for the study, the one that shows
[ 160.76 -  170.72] fire keeps predators away. There isn't one. There was a real study about lions and darkness
[ 170.72 -  175.64] and it's excellent. Craig Packer's team went through more than a thousand people attacked
[ 175.64 -  183.48] by lions and Tanzania over 21 years. And they found something genuinely chilling attacks
[ 183.48 -  192.44] spike two to four times in the 10 days after a full moon. When the evening goes dark early,
[ 192.44 -  199.74] nights are dangerous. That part's true and it's measured. But here's the second sentence
[ 199.74 -  207.98] of that paper's own abstract. Not my summary, theirs. That study is about moonlight. It
[ 207.98 -  214.02] contains no fire data whatsoever. Watch what happens next because this is how a fact gets
[ 214.02 -  220.74] made out of nothing. A major review cites Packer to establish that nights were dangerous,
[ 220.74 -  226.70] which he did show. And then he takes one step sideways. Control of fire is the obvious
[ 226.70 -  236.38] possibility. Obvious, not demonstrated. Obvious. And then the next paper cites that review
[ 236.38 -  241.02] and by the time it comes out the other side, protection from predators is just sitting
[ 241.02 -  248.78] there in the abstract, like a fact wearing a little hat. Nobody lied. Every single person
[ 248.78 -  255.20] hedged honestly. It's just that hedges don't survive citation. And here's the part that
[ 255.20 -  260.68] should have ended this a long time ago. The Hadza still sleep on the ground in lion country
[ 260.68 -  274.74] in Tanzania. Researchers watched 436 of their nights. They ran a fire on 295 of them, 67%,
[ 274.74 -  281.12] one night in three, no fire in lion country. And if you want to know what people do in
[ 281.12 -  288.24] 2026, when they actually urgently need to stop lions from killing their livestock at
